"Installments Interest","Installments Interest"
"Discount in cash","Discount in cash"
"Default Config","Default Config"
Production,Production
"Environment for tests","Environment for tests"
"Authorize for the store %1 in %2","Authorize for the store %1 in %2"
"Disallow for the store %1 in %2","Disallow for the store %1 in %2"
"Order not found.","Order not found."
"Not Apply.","Not Apply."
"You are diconnected to PagBank.","You are diconnected to PagBank."
"You are connected to PagBank. =)","You are connected to PagBank. =)"
"Unable to get the code, try again. =(","Unable to get the code, try again. =("
"Card saved successfully.","Card saved successfully."
"You should not be here...","You should not be here..."
"Not apply.","Not apply."
"PagBank, error when checking order status.","PagBank, error when checking order status."
"It is not possible to check the status of order %1, please perform a manual verification.","It is not possible to check the status of order %1, please perform a manual verification."
"Transaction has been declined. Please try again later.","Transaction has been declined. Please try again later."
"15 minutes","15 minutes"
"30 minutes","30 minutes"
"1 hour","1 hour"
"12 hour","12 hour"
"1 day","1 day"
"3 days","3 days"
"%1 minutes","%1 minutes"
"Two payment IDs are required for two card capture","Two payment IDs are required for two card capture"
"Invalid JSON was returned by the gateway","Invalid JSON was returned by the gateway"
"Two payment IDs are required for two card void","Two payment IDs are required for two card void"
"Two payment IDs are required for two card refund","Two payment IDs are required for two card refund"
"Pay for Order #%1","Pay for Order #%1"
"Expected 2 authorization transactions for two card payment, found %1","Expected 2 authorization transactions for two card payment, found %1"
"Invalid payment distribution. First card amount exceeds or equals order total.","Invalid payment distribution. First card amount exceeds or equals order total."
"Payment captured successfully for two credit cards.","Payment captured successfully for two credit cards."
"Failed to capture payment for one or both credit cards.","Failed to capture payment for one or both credit cards."
"Failed to capture payment for all cards","Failed to capture payment for all cards"
"Order Canceled.","Order Canceled."
"Payment voided successfully for two credit cards.","Payment voided successfully for two credit cards."
"Failed to void payment for one or both credit cards.","Failed to void payment for one or both credit cards."
"Failed to void payment for all cards","Failed to void payment for all cards"
"Awaiting payment.","Awaiting payment."
"Awaiting payment review.","Awaiting payment review."
"Awaiting payment for two credit cards.","Awaiting payment for two credit cards."
"Awaiting payment review for two credit cards.","Awaiting payment review for two credit cards."
"Order Canceled - Two card payment failed.","Order Canceled - Two card payment failed."
"Payment refunded successfully for two credit cards. Amount: %1","Payment refunded successfully for two credit cards. Amount: %1"
"Failed to refund payment for one or both credit cards.","Failed to refund payment for one or both credit cards."
"Failed to refund payment for all cards","Failed to refund payment for all cards"
"Gateway rejected the transaction.","Gateway rejected the transaction."
"Sandbox - Environment for tests","Sandbox - Environment for tests"
"1 installment","1 installment"
"2 installments","2 installments"
"3 installments","3 installments"
"4 installments","4 installments"
"5 installments","5 installments"
"6 installments","6 installments"
"7 installments","7 installments"
"8 installments","8 installments"
"9 installments","9 installments"
"10 installments","10 installments"
"11 installments","11 installments"
"12 installments","12 installments"
"13 installments","13 installments"
"14 installments","14 installments"
"15 installments","15 installments"
"16 installments","16 installments"
"17 installments","17 installments"
"18 installments","18 installments"
Authorize,Authorize
"Authorize and Capture","Authorize and Capture"
Order,Order
Configure,Configure
Close,Close
"30 minutes - recommended","30 minutes - recommended"
"12 hours","12 hours"
"24 hours","24 hours"
"72 hours","72 hours"
"Please select","Please select"
"1st line of the street","1st line of the street"
"2st line of the street","2st line of the street"
"3st line of the street","3st line of the street"
"4st line of the street","4st line of the street"
"by customer form (taxvat - customer account)","by customer form (taxvat - customer account)"
"by address form (vat_id - checkout)","by address form (vat_id - checkout)"
"Do not apply rule","Do not apply rule"
"2 days - recommended","2 days - recommended"
"1 week","1 week"
"1 month","1 month"
"Set in your Account","Set in your Account"
"Receive within 14 days","Receive within 14 days"
"Receive within 30 days","Receive within 30 days"
"Cart %1 doesn't contain products","Cart %1 doesn't contain products"
"Unable to save interest.","Unable to save interest."
"Invalid card data","Invalid card data"
"Card already exists and is active.","Card already exists and is active."
"PagBank API error: %1","PagBank API error: %1"
"Error creating card token: %1","Error creating card token: %1"
"Refresh Token for Default Store.","Refresh Token for Default Store."
"Refresh Token for Web Site Id %1.","Refresh Token for Web Site Id %1."
Finished,Finished
"Refresh token successful","Refresh token successful"
"token update returns errors code: %1","token update returns errors code: %1"
"Querying the status of the order at the gateway.","Querying the status of the order at the gateway."
"Order cancelled, payment deadline has expired.","Order cancelled, payment deadline has expired."
"Order %1 was in state %2 has been updated to state %3.","Order %1 was in state %2 has been updated to state %3."
"Order not found","Order not found"
"Update not available because the initial state is incompatible: %1","Update not available because the initial state is incompatible: %1"
"Boleto Bancário - PagBank","Boleto Bancário - PagBank"
"Cartão de Crédito - PagBank","Cartão de Crédito - PagBank"
"Pay in PagBank","Pay in PagBank"
"Pix - PagBank","Pix - PagBank"
"Get Payment Update","Get Payment Update"
"This decision will not change the status in PagBank.","This decision will not change the status in PagBank."
"Accept Offline Payment","Accept Offline Payment"
"Deny Offline Payment","Deny Offline Payment"
"Not implemented","Not implemented"
"Capture can not be performed through vault","Capture can not be performed through vault"
Due,Due
Instruction,Instruction
"Not available.","Not available."
Expiration,Expiration
Link,Link
"Download the Boleto","Download the Boleto"
"Line Code","Line Code"
"Payer Name","Payer Name"
"Payer Tax Id","Payer Tax Id"
"Pay by Compute","Pay by Compute"
"Pay by Mobile","Pay by Mobile"
"Payer Phone","Payer Phone"
"Pix Qr Code","Pix Qr Code"
"Pix Copy and Paste","Pix Copy and Paste"
"Know and compare our <b>promotional plans</b>","Know and compare our <b>promotional plans</b>"
"Magento and Adobe Commerce - Account Profile","Magento and Adobe Commerce - Account Profile"
"Magento and Adobe Commerce - D14","Magento and Adobe Commerce - D14"
"Magento and Adobe Commerce - D30","Magento and Adobe Commerce - D30"
Benefits,Benefits
"Ideal for those who bill above R$ 200,000","Ideal for those who bill above R$ 200,000"
"Customized fees and receipts","Customized fees and receipts"
"Request your personalized proposal <a href=""%1"">here</a>","Request your personalized proposal <a href=""%1"">here</a>"
"Ideal for those who need greater cash flow","Ideal for those who need greater cash flow"
"Reduced fees","Reduced fees"
"Ideal for those who have greater cash flow","Ideal for those who have greater cash flow"
"The best market rates","The best market rates"
"Receipt Type","Receipt Type"
"As defined in your account","As defined in your account"
Fees*,Fees*
Card:,Card:
"With 3.97% fee.","With 3.97% fee."
Pix:,Pix:
"With 0.99% fee.","With 0.99% fee."
"With immediate receipt.","With immediate receipt."
"Bank Slip:","Bank Slip:"
"With fixed fee of R$ 2.99.","With fixed fee of R$ 2.99."
"With receipt within 2 business days.","With receipt within 2 business days."
"With 3.05% fee.","With 3.05% fee."
"* The fees advertised here may vary, please check our page for updated values.","* The fees advertised here may vary, please check our page for updated values."
"Add New Card","Add New Card"
"Card Number","Card Number"
"Security Code","Security Code"
"Expiration Date","Expiration Date"
Month,Month
Year,Year
"Card Holder Name","Card Holder Name"
"Save Card","Save Card"
"The Boleto barcode is","The Boleto barcode is"
Copy,Copy
Copied,Copied
"To make the payment:","To make the payment:"
"Access your PagBank account by clicking on the link:","Access your PagBank account by clicking on the link:"
"You must <strong>be redirected to PagBank</strong> to complete the payment.","You must <strong>be redirected to PagBank</strong> to complete the payment."
"Open the <strong>PagBank app</strong> on your phone;","Open the <strong>PagBank app</strong> on your phone;"
"Go to the <strong>Pix/Qr Code</strong> option;","Go to the <strong>Pix/Qr Code</strong> option;"
"Select the option <strong>Pay with Qr Code</strong>;","Select the option <strong>Pay with Qr Code</strong>;"
"Scan the Qr Code:","Scan the Qr Code:"
"Atenção o Qr Code gerado <strong>só é válido para uso no aplicatico do PagBank.</strong>","Atenção o Qr Code gerado <strong>só é válido para uso no aplicatico do PagBank.</strong>"
"To pay, read the Qr Code","To pay, read the Qr Code"
"Or if you prefer, copy and paste the code","Or if you prefer, copy and paste the code"
"Boleto Information","Boleto Information"
Waiting...,Waiting...
"Place Order","Place Order"
"Card Information","Card Information"
"Type Transaction","Type Transaction"
"Credit Card Number","Credit Card Number"
"What is this?","What is this?"
"CVV - Card Verification Number","CVV - Card Verification Number"
"Expiration Month","Expiration Month"
"Expiration Year","Expiration Year"
"Credit Card Holder Full Name","Credit Card Holder Full Name"
"Select Instalmment","Select Instalmment"
"Save for later use.","Save for later use."
"A 3-digit number in italics on the back of your credit card.","A 3-digit number in italics on the back of your credit card."
"Card Type","Card Type"
"Information for paying with PagBank","Information for paying with PagBank"
"Payer Tax id","Payer Tax id"
"Payer Information","Payer Information"
"Payer Full Name","Payer Full Name"
"Pix Information","Pix Information"
CVV,CVV
"Select Installment","Select Installment"
Division,Division
"1º Card","1º Card"
"2º Card","2º Card"
"Payment Division","Payment Division"
"Adjust payment amount for each card","Adjust payment amount for each card"
"First Card:","First Card:"
"Second Card:","Second Card:"
"Continue to 1ª Card","Continue to 1ª Card"
"First Credit Card","First Credit Card"
"You will pay","You will pay"
"Edit Division","Edit Division"
"Continue to 2º Card","Continue to 2º Card"
"Second Credit Card","Second Credit Card"
"Option for installments...","Option for installments..."
ending,ending
expires,expires
"Enter card number...","Enter card number..."
"in total of %1","in total of %1"
"not interest","not interest"
"%1x of %2 %3","%1x of %2 %3"
"card issuer","card issuer"
"Verification of data","Verification of data"
"Confirm my data","Confirm my data"
"This type of card is not accepted.","This type of card is not accepted."
"Please enter a valid credit card type number.","Please enter a valid credit card type number."
"Please enter a valid credit card number.","Please enter a valid credit card number."
"Please enter a valid credit card verification number.","Please enter a valid credit card verification number."
"Please provide a valid CPF/CNPJ.","Please provide a valid CPF/CNPJ."
"Please enter a valid card holder name.","Please enter a valid card holder name."
"Card has expired. Please use a valid expiration date.","Card has expired. Please use a valid expiration date."
Error,Error
"Unable to complete the card validation.","Unable to complete the card validation."
"An error occurred while processing the card. Please try again.","An error occurred while processing the card. Please try again."
Success,Success
"An error occurred while saving the card.","An error occurred while saving the card."
"Unable to complete the payment with this card, please verify the information and try again.","Unable to complete the payment with this card, please verify the information and try again."
"Error while processing Payment","Error while processing Payment"
Ok,Ok
"Change Payment Method","Change Payment Method"
Credit,Credit
Debit,Debit
"Please select a valid payment division amount","Please select a valid payment division amount"
"Payer Information for %1","Payer Information for %1"
"Payment Services","Payment Services"
"Permission for set preference account PagBank","Permission for set preference account PagBank"
"Permission for config PagBank","Permission for config PagBank"
"Permission for clear config PagBank","Permission for clear config PagBank"
"<div class='pagbank-payment-logo'></div><div class='pagbank-payment-byline'><p><b>PagBank</b> is a company within the UOL group.</p><p>PagBank is the <b>pioneer and leader</b> in the Brazilian online payment market, with a complete portfolio for your business.</p></div>","<div class='pagbank-payment-logo'></div><div class='pagbank-payment-byline'><p><b>PagBank</b> is a company within the UOL group.</p><p>PagBank is the <b>pioneer and leader</b> in the Brazilian online payment market, with a complete portfolio for your business.</p></div>"
"Technical support available <a href=""https://github.com/pagseguro/payment-magento/issues/new/choose"">here</a>.","Technical support available <a href=""https://github.com/pagseguro/payment-magento/issues/new/choose"">here</a>."
Credentials,Credentials
"Define the relationship between your store and our application.","Define the relationship between your store and our application."
"Statement Descriptor","Statement Descriptor"
Environment,Environment
"Module Authorization","Module Authorization"
"Boleto Bancário","Boleto Bancário"
"A charge registered and authenticated by PagBank.","A charge registered and authenticated by PagBank."
Enabled,Enabled
Title,Title
"Days due","Days due"
"Consecutive days.","Consecutive days."
"Instruction during checkout","Instruction during checkout"
"Information displayed at checkout.","Information displayed at checkout."
"Information will be printed on the Boleto.","Information will be printed on the Boleto."
"Payment Action","Payment Action"
"Basic configuration","Basic configuration"
"Basic configuration of payment methods.","Basic configuration of payment methods."
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Payment From Applicable Countries","Payment From Applicable Countries"
"Payment From Specific Countries","Payment From Specific Countries"
"Sort Order","Sort Order"
"Payer Data Capture","Payer Data Capture"
"Define the payment form data capture.","Define the payment form data capture."
"Capture name in the payment form?","Capture name in the payment form?"
"Capture tax ID (CPF or CNPJ) in the payment form?","Capture tax ID (CPF or CNPJ) in the payment form?"
"Cartão de Crédito","Cartão de Crédito"
"You can run charges to a credit card using national currency and to top it off with rates that fit your pocket.","You can run charges to a credit card using national currency and to top it off with rates that fit your pocket."
"Enabled Vault","Enabled Vault"
"Credit Card Types","Credit Card Types"
"3D Secure","3D Secure"
"3D Secure configuration.","3D Secure configuration."
"Authorization is required to use this service. Please get in touch with PagBank for further assistance.","Authorization is required to use this service. Please get in touch with PagBank for further assistance."
"Enabled Debit Card","Enabled Debit Card"
"Allow payment with debit card.","Allow payment with debit card."
"Reject payment not authenticated","Reject payment not authenticated"
"Instruction before challenge","Instruction before challenge"
"%1 and %2 are two variables, they will be replaced by the card's flag and the issuer bank's name, respectively.","%1 and %2 are two variables, they will be replaced by the card's flag and the issuer bank's name, respectively."
"Activation rules","Activation rules"
"Advanced settings for 3D Secure application. Activation will be done if the order meets at least 1 of the rules.","Advanced settings for 3D Secure application. Activation will be done if the order meets at least 1 of the rules."
"Activate after the number of failed attempts","Activate after the number of failed attempts"
"3D Secure authentication will be required if the <b>number of purchase attempts</b> (that fail) exceeds the value registered here.","3D Secure authentication will be required if the <b>number of purchase attempts</b> (that fail) exceeds the value registered here."
"<p>During checkout, if the customer tries to purchase and their order is denied, the number of attempts will increase. This feature is useful to prevent automated fraud attempts.</p>","<p>During checkout, if the customer tries to purchase and their order is denied, the number of attempts will increase. This feature is useful to prevent automated fraud attempts.</p>"
