[en_US]
"qr_code_image","Qr Code Image"
"qr_code","Qr Code"
"expiration_date","Expiration date"
"payer_name","Payer name"
"payer_phone","Payer phone"
"payer_tax_id","Payer Tax ID"
"boleto_line_code","Boleto Line Code"
"boleto_pdf_href","Boleto PDF href"
"cc_installments","Installments"
"cc_type","Cc Type"
"cc_number","Cc Number"
"cc_exp_month","Expiry month"
"cc_exp_year","Expiry year"
"cc_cardholder_name","Holder name"
"three_ds_session","3DS Session ID"
"three_ds_auth","3DS Authentication Type"
"three_ds_auth_status","3DS Authentication Status"
"cc_authorization_code","Authorization Code"
"cc_nsu","NSU"
"first_cc_installments","1ª Installments"
"first_cc_type", "1ª Card Type"
"first_cc_number", "1ª Card Number"
"first_cc_exp_month", "1ª Expiration Month"
"first_cc_exp_year", "1ª Expiration Year"
"first_cc_cardholder_name", "1ª Cardholder Name"
"first_payer_tax_id", "1ª Payer Tax ID"
"first_payer_phone", "1ª Payer Phone"
"first_three_ds_session", "1ª 3DS Session"
"first_three_ds_auth", "1ª 3DS Auth"
"first_three_ds_auth_status", "1ª 3DS Auth Status"
"first_cc_authorization_code", "1ª Authorization Code"
"first_cc_nsu", "1ª NSU"
"first_cc_amount", "1ª Amount"
"second_cc_installments", "2ª Installments"
"second_cc_type", "2ª Card Type"
"second_cc_number", "2ª Card Number"
"second_cc_exp_month", "2ª Expiration Month"
"second_cc_exp_year", "2ª Expiration Year"
"second_cc_cardholder_name", "2ª Cardholder Name"
"second_payer_tax_id", "2ª Payer Tax ID"
"second_payer_phone", "2ª Payer Phone"
"second_three_ds_session", "2ª 3DS Session"
"second_three_ds_auth", "2ª 3DS Auth"
"second_three_ds_auth_status", "2ª 3DS Auth Status"
"second_cc_authorization_code", "2ª Authorization Code"
"second_cc_nsu", "2ª NSU"
"second_cc_amount", "2ª Amount"
[pt_BR]
"qr_code_image","Imagem do Qr Code"
"qr_code","Qr Code"
"expiration_date","Data de expiração"
"payer_name","Nome"
"payer_phone","Telefone"
"payer_tax_id","CPF/CNPJ"
"boleto_line_code","Linha digitável"
"boleto_pdf_href","Link do Boleto"
"cc_installments","Parcelamento"
"cc_type","Bandeira"
"cc_number","Número"
"cc_exp_month","Mês de expiração"
"cc_exp_year","Ano de expiração"
"cc_cardholder_name","Nome Impresso"
"three_ds_session","Id da Sessão 3DS"
"three_ds_auth","Tipo de Autenticação 3DS"
"three_ds_auth_status","Status da Autenticação 3DS"
"cc_authorization_code","Código da Autorização"
"cc_nsu","NSU"
"qr_code_image","Imagem do Qr Code"
"qr_code","Qr Code"
"expiration_date","Data de expiração"
"payer_name","Nome"
"payer_phone","Telefone"
"payer_tax_id","CPF/CNPJ"
"boleto_line_code","Linha digitável"
"boleto_pdf_href","Link do Boleto"
"cc_installments","Parcelamento"
"cc_type","Bandeira"
"cc_number","Número"
"cc_exp_month","Mês de expiração"
"cc_exp_year","Ano de expiração"
"cc_cardholder_name","Nome Impresso"
"three_ds_session","Id da Sessão 3DS"
"three_ds_auth","Tipo de Autenticação 3DS"
"three_ds_auth_status","Status da Autenticação 3DS"
"cc_authorization_code","Código da Autorização"
"cc_nsu","NSU"
"first_cc_installments","Parcelas 1º Cartão"
"first_cc_type","Tipo 1º Cartão"
"first_cc_number","Número 1º Cartão"
"first_cc_exp_month","Mês Expiração 1º Cartão"
"first_cc_exp_year","Ano Expiração 1º Cartão"
"first_cc_cardholder_name","Nome Titular 1º Cartão"
"first_payer_tax_id","CPF/CNPJ Pagador 1º Cartão"
"first_payer_phone","Telefone Pagador 1º Cartão"
"first_three_ds_session","Sessão 3DS 1º Cartão"
"first_three_ds_auth","Autenticação 3DS 1º Cartão"
"first_three_ds_auth_status","Status Autenticação 3DS 1º Cartão"
"first_cc_authorization_code","Código Autorização 1º Cartão"
"first_cc_nsu","NSU 1º Cartão"
"first_cc_amount","Valor 1º Cartão"
"second_cc_installments","Parcelas 2º Cartão"
"second_cc_type","Tipo 2º Cartão"
"second_cc_number","Número 2º Cartão"
"second_cc_exp_month","Mês Expiração 2º Cartão"
"second_cc_exp_year","Ano Expiração 2º Cartão"
"second_cc_cardholder_name","Nome Titular 2º Cartão"
"second_payer_tax_id","CPF/CNPJ Pagador 2º Cartão"
"second_payer_phone","Telefone Pagador 2º Cartão"
"second_three_ds_session","Sessão 3DS 2º Cartão"
"second_three_ds_auth","Autenticação 3DS 2º Cartão"
"second_three_ds_auth_status","Status Autenticação 3DS 2º Cartão"
"second_cc_authorization_code","Código Autorização 2º Cartão"
"second_cc_nsu","NSU 2º Cartão"
"second_cc_amount","Valor 2º Cartão"
