"Update not available because the initial state is incompatible: %1","Atualização não disponível pois state inicial é incompativel: %1"
"Installments Interest","Juros de Parcelamento"
"Discount in cash","Desconto à vista"
"Default Config","Configuração Padrão"
Production,Produção
"Environment for tests","Ambiente de testes"
"Authorize for the store %1 in %2","Autorizar a loja %1 em %2"
"Disallow for the store %1 in %2","Desautorizar a loja %1 em %2"
"Order not found.","Pedido não encontrado."
"You are diconnected to PagBank.","Você foi desconectado do PagBank."
"You are connected to PagBank. =)","Você foi conectado ao PagBank. =)"
"Unable to get the code, try again. =(","Não foi possível obter o código, tente novamente. =("
"You should not be here...","Não é para você estar aqui..."
"PagBank, error when checking order status.","PagBank, erro ao verificar o status do pedido."
"It is not possible to check the status of order %1, please perform a manual verification.","Não é possível verificar o status do pedido %1, por favor, realize uma verificação manual."
"Transaction has been declined. Please try again later.","Pedido recusado, por favor, tente mais tarde."
"15 minutes","15 minutos"
"30 minutes","30 minutos"
"1 hour","1 hora"
"12 hour","12 horas"
"1 day","1 dia"
"3 days","3 dias"
"%1 minutes","%1 minutos"
"Pay for Order #%1","Pagamento do pedido #%1"
"Order Canceled.","Pedido Cancelado."
"Awaiting payment review.","Aguardando revisão do pagamento."
"Awaiting payment.","Aguardando pagamento."
"Gateway rejected the transaction.","Gateway rejeitou a transação."
"Sandbox - Environment for tests","Sandbox - Ambiente de teste"
"1 installment","1 parcela"
"2 installments","2 parcelas"
"3 installments","3 parcelas"
"4 installments","4 parcelas"
"5 installments","5 parcelas"
"6 installments","6 parcelas"
"7 installments","7 parcelas"
"8 installments","8 parcelas"
"9 installments","9 parcelas"
"10 installments","10 parcelas"
"11 installments","11 parcelas"
"12 installments","12 parcelas"
"13 installments","13 parcelas"
"14 installments","14 parcelas"
"15 installments","15 parcelas"
"16 installments","16 parcelas"
"17 installments","17 parcelas"
"18 installments","18 parcelas"
Authorize,Autorizar
"Authorize and Capture","Autorizar e Capturar"
Order,Pedido
Configure,Configurar
Close,Fechar
"30 minutes - recommended","30 minutos - recomendado"
"12 hours","12 horas"
"24 hours","24 horas"
"72 hours","72 horas"
"Please select","Por favor, selecione"
"1st line of the street","1ª linha de endereço"
"2st line of the street","2ª linha de endereço"
"3st line of the street","3ª linha de endereço"
"4st line of the street","4ª linha de endereço"
"by customer form (taxvat - customer account)","pelo formulário de cliente (taxvat - customer account)"
"by address form (vat_id - checkout)","pelo formulário de endereço (vat_id - checkout)"
"Cart %1 doesn't contain products","O carrinho %1 não contém produtos"
"Unable to save interest.","Não foi possível salvar o juros."
"Refresh Token for Default Store.","Refresh Token para Loja Padrão."
"Refresh Token for Web Site Id %1.","Refresh Token para Web Site Id %1."
Finished,Finalizado
"Refresh token successful","Token atualizado com sucesso"
"token update returns errors code: %1","Erro ao atualizar o token: %1"
"Querying the status of the order at the gateway.","Consultando o status do pedido no gateway."
"Order cancelled, payment deadline has expired.","Pedido cancelado, prazo de pagamento expirou."
"Order %1 was in state %2 has been updated to state %3 expired?","O pedido %1 estava no estado %2 foi atualizado para o estado %3 expirou?"
"Order not found","Pedido não encontrado"
"Boleto Bancário - PagBank","Boleto Bancário - PagBank"
"Cartão de Crédito - PagBank","Cartão de Crédito - PagBank"
"Pix - PagBank","Pix - PagBank"
"Get Payment Update","Obter Atualização de Pagamento"
"This decision will not change the status in PagBank.","Esta decisão não mudará o status no PagBank."
"Accept Offline Payment","Aceitar Pagamento Offline"
"Deny Offline Payment","Negar Pagamento Offline"
Due,Vencimento
Instruction,Instruções
"Not available.","Não disponível."
Expiration,Expiração
Link,Link
"Download the Boleto","Download do Boleto"
"Line Code","Linha digitável"
"Payer Name","Nome do Pagador"
"Payer Tax Id","CPF/CNPJ do Pagador"
"Pix Qr Code","Pix Qr Code"
"Pix Copy and Paste","Pix Cópia e Cola"
"Payer Phone","Telefone do Pagador"
"The Boleto barcode is","O código de barras do boleto é"
Copy,Copiar
Copied,Copiado
"To pay, read the Qr Code","Para o pagamento, faço a leitura do Qr Code"
"Or if you prefer, copy and paste the code","Ou se preferir, copie e cole o código"
"Boleto Information","Informações do Boleto"
Waiting...,Aguardando...
"Place Order","Concluir Pagamento"
